applicant_name,gender,age,city,employment_type,bank,monthly_income_pkr,credit_score,loan_amount_pkr,loan_tenure_months,existing_loans,default_history,has_credit_card,approved
Noman Saleem,M,58,Karachi,Salaried,Askari,158500,693,1065000,6,1,0,1,0
Hamza Mirza,M,21,Karachi,Salaried,Askari,116400,629,771000,36,1,0,1,1
Hina Malik,F,32,Lahore,Salaried,Faysal Bank,41500,659,450000,60,1,0,0,0
Taha Hussain,M,24,Lahore,Self-Employed,UBL,120500,689,901000,6,2,0,1,0
Ali Latif,M,29,Lahore,Contract,Standard Chartered,78600,786,1924000,12,3,0,1,0
Taha Farooq,M,54,Islamabad,Salaried,Faysal Bank,81100,644,50000,24,0,0,0,0
Haroon Amin,M,41,Lahore,Salaried,MCB,167400,706,719000,60,0,0,1,0
Mehak Mahmood,F,34,Karachi,Salaried,UBL,98400,620,702000,24,0,0,0,0
Ahmed Siddiqui,M,54,Karachi,Unemployed,Faysal Bank,24800,581,642000,24,0,0,0,0
Tufail Saeed,M,57,Multan,Business Owner,Alfalah,157600,812,1293000,36,3,0,1,0
Sajid Javed,M,55,Faisalabad,Salaried,HBL,135100,625,1155000,12,1,0,1,0
Usman Saeed,M,41,Multan,Salaried,Standard Chartered,141600,588,809000,60,0,1,1,0
Taha Rehman,M,33,Karachi,Salaried,HBL,127500,699,822000,36,0,0,0,0
Kiran Qureshi,F,41,Multan,Salaried,Faysal Bank,127000,616,1090000,12,0,1,0,0
Ahmed Khan,M,50,Peshawar,Salaried,UBL,68000,706,1334000,12,0,0,0,0
Zainab Saeed,F,38,Multan,Salaried,JS Bank,142300,597,1578000,36,0,0,0,0
Maham Iqbal,F,41,Karachi,Self-Employed,Alfalah,87600,775,867000,48,0,0,1,0
Farhan Zafar,M,51,Lahore,Business Owner,HBL,231500,650,85000,24,0,0,1,1
Zainab Butt,F,44,Sialkot,Salaried,Standard Chartered,107800,665,1299000,6,0,1,0,0
Laiba Nawaz,F,51,Lahore,Salaried,JS Bank,61500,753,806000,36,1,0,0,0
Sameer Butt,M,38,Faisalabad,Self-Employed,Standard Chartered,149700,741,1243000,36,1,0,1,0
Anas Hussain,M,53,Karachi,Unemployed,Faysal Bank,38700,707,2117000,18,0,0,0,0
Faisal Rajput,M,28,Lahore,Contract,Askari,89200,805,841000,12,0,0,0,0
Anas Javed,M,48,Lahore,Salaried,MCB,149100,709,787000,24,0,0,1,1
Rabia Qureshi,F,53,Faisalabad,Salaried,Meezan,184000,564,316000,36,0,1,1,1
Ali Haider,M,37,Karachi,Contract,Faysal Bank,114700,681,1684000,60,0,0,0,0
Saad Iqbal,M,42,Lahore,Self-Employed,HBL,71200,675,50000,18,0,0,0,1
Muhammad Sheikh,M,45,Peshawar,Salaried,HBL,118900,590,894000,36,1,0,0,0
Sajid Saleem,M,37,Peshawar,Self-Employed,MCB,112800,727,1292000,48,1,0,1,0
Rida Shah,F,40,Multan,Salaried,NBP,32800,583,778000,36,2,0,1,0
Alina Farooq,F,48,Karachi,Business Owner,Askari,78700,662,224000,60,1,0,0,1
Ayesha Aslam,F,50,Islamabad,Contract,JS Bank,171300,615,188000,24,1,0,0,0
Noman Syed,M,38,Lahore,Salaried,UBL,103100,741,716000,6,0,0,1,1
Haroon Ahmed,M,56,Sialkot,Salaried,Alfalah,111200,564,1159000,24,0,0,0,0
Nimra Malik,F,54,Islamabad,Salaried,NBP,64800,702,960000,12,1,0,1,0
Junaid Akhtar,M,50,Peshawar,Salaried,HBL,210400,770,458000,6,2,0,0,0
Sara Khan,F,26,Karachi,Salaried,Standard Chartered,138100,604,1401000,36,0,0,1,0
Awais Hussain,M,36,Multan,Self-Employed,Standard Chartered,120300,694,1361000,18,2,0,0,0
Ali Mehmood,M,22,Lahore,Salaried,UBL,155500,565,453000,36,0,0,1,0
Zain Shah,M,58,Lahore,Business Owner,Askari,240800,616,322000,12,3,0,1,0
Sana Javed,F,43,Multan,Contract,Askari,22900,611,1325000,36,1,0,1,0
Ammar Saleem,M,34,Karachi,Salaried,Standard Chartered,175300,826,713000,24,0,1,0,0
Fariha Rashid,F,31,Karachi,Salaried,Meezan,80000,617,974000,12,0,1,1,0
Kashif Iqbal,M,48,Karachi,Self-Employed,UBL,52800,629,1308000,36,2,0,1,0
Anas Ahmed,M,25,Lahore,Contract,Meezan,180200,693,50000,18,0,0,1,1
Rabia Sheikh,F,35,Rawalpindi,Salaried,MCB,135400,633,917000,24,0,0,0,0
Imran Latif,M,22,Quetta,Business Owner,HBL,122000,753,908000,60,0,0,0,0
Abdullah Khan,M,50,Faisalabad,Contract,JS Bank,173400,684,452000,36,1,0,1,1
Dania Sheikh,F,51,Islamabad,Business Owner,NBP,133300,667,311000,48,0,0,1,1
Fariha Niaz,F,50,Lahore,Self-Employed,NBP,85600,656,547000,12,0,0,1,1
Moiz Haider,M,59,Lahore,Contract,NBP,135900,604,50000,24,0,0,0,1
Noor Malik,F,40,Lahore,Salaried,JS Bank,48700,764,135000,6,0,0,0,0
Sameer Latif,M,45,Multan,Business Owner,Alfalah,164500,724,1375000,24,3,0,1,0
Umar Aslam,M,55,Lahore,Self-Employed,Standard Chartered,63700,808,393000,24,1,0,1,0
Muhammad Latif,M,51,Karachi,Salaried,Meezan,69800,750,162000,60,2,0,1,0
Kashif Rehman,M,39,Peshawar,Business Owner,UBL,197600,645,773000,36,0,0,1,1
Hassan Awan,M,54,Peshawar,Self-Employed,Standard Chartered,87900,641,484000,36,0,0,1,1
Taha Saleem,M,51,Faisalabad,Business Owner,NBP,210900,795,506000,48,0,0,0,1
Rabia Ahmed,F,53,Rawalpindi,Salaried,Meezan,25000,668,1399000,48,1,0,0,0
Muhammad Ali,M,40,Lahore,Self-Employed,Meezan,126600,682,1882000,24,1,0,0,0
Kashif Akhtar,M,34,Faisalabad,Salaried,Faysal Bank,95000,664,1161000,60,1,1,1,0
Mahnoor Nawaz,F,52,Faisalabad,Self-Employed,UBL,125200,678,90000,12,1,0,0,1
Sahar Amin,F,21,Lahore,Self-Employed,Faysal Bank,115400,699,643000,24,0,0,0,0
Noman Mahmood,M,56,Lahore,Self-Employed,HBL,157100,772,1229000,24,0,0,0,1
Eman Chaudhry,F,46,Karachi,Contract,Faysal Bank,117900,873,674000,24,1,1,1,0
Anaya Syed,F,54,Islamabad,Salaried,Meezan,101800,670,628000,48,0,0,0,0
Ahmed Butt,M,58,Lahore,Self-Employed,HBL,110900,668,842000,60,0,0,0,0
Sohail Rashid,M,50,Islamabad,Salaried,Standard Chartered,138400,682,1546000,12,0,0,0,1
Sohail Mehmood,M,56,Karachi,Self-Employed,Standard Chartered,165300,726,50000,12,0,0,1,1
Mehak Haider,F,46,Islamabad,Salaried,MCB,25000,663,861000,36,0,0,1,0
Ibrahim Aslam,M,21,Multan,Salaried,Askari,57600,572,50000,24,0,0,1,1
Faiz Nawaz,M,36,Islamabad,Salaried,MCB,63700,573,1358000,12,0,0,1,0
Fariha Awan,F,57,Lahore,Salaried,HBL,98800,793,894000,36,1,0,1,0
Tufail Naseer,M,30,Gujranwala,Salaried,HBL,31600,641,529000,12,0,0,0,0
Sameer Qureshi,M,21,Islamabad,Self-Employed,Askari,161000,610,1167000,12,3,0,0,0
Sara Tariq,F,37,Faisalabad,Salaried,MCB,75000,846,516000,18,0,0,1,0
Dania Zafar,F,42,Karachi,Salaried,JS Bank,151400,722,187000,12,0,0,0,1
Sahar Zafar,F,40,Karachi,Salaried,Alfalah,88900,647,1717000,60,1,1,1,0
Ali Zafar,M,55,Quetta,Self-Employed,Meezan,182600,595,715000,36,1,1,1,1
Imran Sheikh,M,28,Quetta,Salaried,Meezan,103000,774,870000,12,0,0,0,0
Moiz Tariq,M,37,Karachi,Salaried,JS Bank,109800,584,1350000,60,0,0,1,0
Asad Mirza,M,44,Sialkot,Salaried,Askari,149300,581,1585000,24,0,0,1,0
Sohail Ahmed,M,48,Faisalabad,Salaried,Standard Chartered,97100,709,835000,12,1,0,0,0
Sara Rajput,F,54,Karachi,Contract,Meezan,37800,597,1847000,36,0,0,1,0
Eman Qureshi,F,30,Karachi,Salaried,Meezan,45100,599,1181000,6,0,0,1,0
Shahzaib Awan,M,56,Rawalpindi,Salaried,MCB,162700,711,1685000,36,0,0,0,1
Sajid Farooq,M,59,Karachi,Salaried,Askari,61300,704,510000,36,1,1,0,0
Farhan Saleem,M,60,Rawalpindi,Business Owner,Faysal Bank,134300,568,537000,24,0,0,1,0
Saad Rashid,M,22,Multan,Contract,JS Bank,154800,722,928000,6,0,0,0,0
Areeba Akhtar,F,35,Lahore,Self-Employed,Faysal Bank,105800,557,407000,24,1,0,0,0
Hamza Mehmood,M,46,Multan,Self-Employed,HBL,97100,692,1544000,48,1,0,1,0
Anum Gill,F,32,Rawalpindi,Business Owner,Meezan,174500,591,538000,24,2,0,1,0
Sajid Shah,M,22,Islamabad,Salaried,Standard Chartered,178800,711,497000,60,1,0,0,1
Ali Shah,M,31,Lahore,Salaried,NBP,193500,683,50000,18,1,0,1,1
Dania Zafar,F,22,Rawalpindi,Salaried,UBL,83700,640,460000,12,1,0,1,0
Hassan Niaz,M,50,Sialkot,Salaried,Askari,144100,627,50000,18,0,0,0,1
Tufail Iqbal,M,31,Karachi,Salaried,NBP,113500,684,575000,36,1,0,0,1
Hussain Zafar,M,47,Karachi,Salaried,HBL,115200,636,50000,36,0,0,0,1
Tufail Saeed,M,21,Rawalpindi,Salaried,MCB,139500,622,313000,12,1,1,0,0
Sohail Latif,M,52,Gujranwala,Salaried,Faysal Bank,133800,661,435000,24,0,0,1,0
Danish Rajput,M,29,Lahore,Business Owner,Faysal Bank,97000,731,697000,24,1,0,1,0
Awais Amin,M,30,Lahore,Business Owner,JS Bank,97400,581,1027000,24,0,1,0,0
Imran Farooq,M,27,Sialkot,Business Owner,Faysal Bank,259500,634,816000,48,1,1,1,0
Abdullah Malik,M,24,Karachi,Self-Employed,MCB,108500,764,1025000,24,3,0,1,1
Zainab Hussain,F,57,Lahore,Salaried,UBL,145000,647,1221000,18,0,0,1,0
Hira Mahmood,F,58,Lahore,Self-Employed,Standard Chartered,214200,849,1043000,18,0,1,1,1
Arslan Chaudhry,M,22,Lahore,Self-Employed,Askari,127400,763,775000,36,0,0,1,0
Faisal Butt,M,31,Karachi,Salaried,Standard Chartered,182300,639,1479000,48,2,0,0,0
Ammar Gill,M,45,Lahore,Salaried,HBL,89400,615,852000,36,1,0,0,0
Anas Haider,M,43,Islamabad,Salaried,Alfalah,166400,728,217000,24,2,0,0,1
Danish Saleem,M,47,Karachi,Business Owner,Faysal Bank,167600,831,925000,60,1,0,1,1
Fariha Rashid,F,57,Lahore,Self-Employed,Faysal Bank,124400,612,1009000,12,1,0,1,1
Muhammad Mehmood,M,53,Karachi,Self-Employed,Faysal Bank,178100,792,529000,36,1,0,1,0
Arslan Farooq,M,33,Karachi,Unemployed,HBL,27200,751,1431000,24,0,0,1,0
Hafsa Awan,F,35,Quetta,Salaried,Meezan,87600,614,873000,48,1,0,0,0
Saba Nawaz,F,34,Lahore,Salaried,NBP,44000,785,354000,48,0,0,0,1
Taha Ali,M,28,Lahore,Salaried,Alfalah,145500,681,136000,24,2,0,0,0
Saad Ali,M,43,Lahore,Salaried,Standard Chartered,149700,719,122000,24,0,0,1,1
Noor Rashid,F,25,Karachi,Salaried,NBP,200000,678,1877000,24,0,0,1,0
Junaid Latif,M,25,Islamabad,Salaried,HBL,139400,559,837000,24,0,1,1,1
Bushra Ahmed,F,26,Karachi,Salaried,JS Bank,82900,622,1054000,18,0,0,0,0
Maryam Syed,F,50,Islamabad,Salaried,NBP,124700,718,490000,24,1,0,1,1
Bilal Iqbal,M,41,Karachi,Salaried,Faysal Bank,112600,761,1195000,24,1,0,0,0
Ahmed Malik,M,33,Faisalabad,Self-Employed,Faysal Bank,196700,648,736000,48,2,0,0,0
Umar Siddiqui,M,44,Peshawar,Salaried,Meezan,172800,641,708000,48,0,0,0,1
Abdullah Niaz,M,49,Gujranwala,Salaried,HBL,227500,772,725000,36,1,0,1,1
Sohail Akhtar,M,52,Peshawar,Salaried,Meezan,112500,827,175000,36,1,0,0,1
Hina Saeed,F,39,Rawalpindi,Salaried,Meezan,173300,738,1149000,18,0,0,0,0
Saba Siddiqui,F,53,Karachi,Self-Employed,Askari,214900,668,1668000,18,0,0,0,0
Rabia Amin,F,33,Karachi,Salaried,Askari,153900,727,964000,24,0,0,1,0
Mehak Niaz,F,54,Karachi,Salaried,MCB,97700,715,739000,36,2,0,1,0
Ayla Rajput,F,28,Multan,Salaried,Standard Chartered,102500,727,383000,24,0,0,1,0
Rizwan Rashid,M,27,Faisalabad,Salaried,HBL,155600,752,670000,60,1,0,0,1
Saad Sheikh,M,51,Karachi,Business Owner,NBP,197700,720,420000,48,0,0,0,1
Umar Niaz,M,50,Karachi,Salaried,Standard Chartered,64100,818,50000,36,1,0,1,1
Abdullah Gill,M,56,Karachi,Self-Employed,HBL,81200,702,651000,48,1,0,0,0
Asad Awan,M,23,Sialkot,Business Owner,Meezan,192800,631,728000,6,0,0,1,1
Ali Ali,M,57,Karachi,Business Owner,MCB,33800,750,930000,60,0,0,1,0
Tufail Shah,M,56,Multan,Business Owner,NBP,173400,687,1390000,48,0,0,0,0
Zain Shah,M,43,Faisalabad,Salaried,JS Bank,92500,716,980000,18,0,0,1,0
Rabia Gill,F,42,Multan,Self-Employed,JS Bank,90900,739,420000,24,0,0,0,1
Ibrahim Ahmed,M,27,Islamabad,Salaried,Alfalah,96300,756,1066000,12,0,0,1,1
Hussain Ahmed,M,46,Karachi,Self-Employed,Alfalah,147600,562,389000,18,0,0,0,0
Asad Latif,M,51,Karachi,Salaried,Faysal Bank,118200,719,685000,36,2,0,0,1
Ali Mahmood,M,45,Hyderabad,Contract,Alfalah,53000,638,818000,18,1,0,0,0
Imran Chaudhry,M,29,Islamabad,Salaried,JS Bank,38800,678,1018000,60,1,0,1,0
Kashif Ali,M,43,Rawalpindi,Business Owner,Faysal Bank,171200,524,711000,24,0,0,0,0
Hamza Niaz,M,27,Lahore,Salaried,UBL,140300,737,50000,24,0,0,1,1
Rabia Naseer,F,41,Lahore,Salaried,Standard Chartered,151800,738,628000,6,2,0,1,0
Zain Aslam,M,56,Rawalpindi,Business Owner,UBL,58800,754,376000,36,2,0,0,0
Areeba Rashid,F,57,Multan,Self-Employed,JS Bank,150400,697,427000,12,1,0,0,1
Hafsa Niaz,F,49,Karachi,Salaried,Alfalah,145400,611,407000,12,0,1,0,0
Sajid Tariq,M,34,Karachi,Salaried,UBL,94800,563,702000,60,0,0,0,0
Taha Ali,M,34,Karachi,Contract,JS Bank,85600,750,1004000,6,1,0,0,0
Rizwan Rashid,M,52,Peshawar,Salaried,MCB,96800,738,1141000,24,0,0,1,0
Ayesha Ali,F,21,Rawalpindi,Self-Employed,Standard Chartered,105800,684,503000,18,1,0,1,0
Eman Ali,F,35,Rawalpindi,Salaried,Faysal Bank,174900,674,50000,36,1,1,0,0
Anaya Mehmood,F,43,Karachi,Salaried,Faysal Bank,91100,750,380000,36,1,0,0,0
Hafsa Iqbal,F,22,Lahore,Business Owner,Meezan,112400,595,1406000,48,1,1,1,0
Muhammad Mirza,M,53,Karachi,Salaried,Meezan,25000,652,1118000,12,1,0,0,0
Sahar Haider,F,36,Rawalpindi,Self-Employed,HBL,169000,776,1282000,18,2,0,1,0
Rizwan Latif,M,54,Lahore,Salaried,Askari,80400,575,834000,24,0,0,1,0
Noman Gill,M,27,Gujranwala,Salaried,Standard Chartered,80200,737,614000,48,1,0,1,0
Danish Niaz,M,22,Faisalabad,Salaried,MCB,186700,613,149000,24,1,0,0,1
Saba Mehmood,F,38,Karachi,Salaried,HBL,62900,642,1236000,12,2,0,0,0
Sajid Rajput,M,59,Karachi,Contract,UBL,42300,668,931000,24,0,1,0,0
Arslan Malik,M,24,Karachi,Salaried,Alfalah,50300,702,555000,24,2,0,1,0
Rizwan Zafar,M,26,Karachi,Self-Employed,JS Bank,57700,685,50000,6,1,0,1,1
Ayla Chaudhry,F,52,Sialkot,Business Owner,Alfalah,113600,715,1410000,36,3,0,0,0
Ahmed Qureshi,M,25,Gujranwala,Salaried,JS Bank,112300,729,1369000,60,1,0,0,0
Zain Latif,M,44,Karachi,Self-Employed,Alfalah,116700,619,582000,24,3,0,1,0
Rizwan Gill,M,22,Karachi,Business Owner,UBL,209800,661,741000,24,2,0,1,0
Taha Saeed,M,22,Karachi,Salaried,JS Bank,136400,662,567000,36,0,0,1,0
Dania Khan,F,36,Lahore,Business Owner,Askari,170200,751,693000,6,0,0,0,0
Dania Mahmood,F,46,Lahore,Contract,UBL,112100,657,50000,18,1,0,0,1
Hira Javed,F,44,Lahore,Salaried,NBP,142900,590,980000,12,0,0,1,0
Hina Raza,F,59,Karachi,Salaried,UBL,109700,648,542000,18,0,1,1,0
Rizwan Raza,M,23,Karachi,Contract,NBP,160600,753,632000,18,0,0,1,1
Saad Rehman,M,23,Lahore,Salaried,Meezan,86900,707,438000,18,1,0,1,1
Arslan Naseer,M,52,Karachi,Salaried,Meezan,90400,714,657000,24,2,0,1,0
Hira Siddiqui,F,35,Islamabad,Salaried,Faysal Bank,76800,603,1019000,12,1,0,0,0
Bilal Akhtar,M,29,Karachi,Self-Employed,JS Bank,91000,778,1012000,24,0,1,1,0
Hafsa Aslam,F,56,Lahore,Contract,HBL,52700,718,785000,36,0,1,1,0
Bilal Javed,M,33,Faisalabad,Salaried,Meezan,63900,709,827000,12,1,1,0,0
Farhan Naseer,M,22,Islamabad,Business Owner,Standard Chartered,145400,656,723000,36,1,0,0,0
Awais Shah,M,21,Quetta,Salaried,Alfalah,106600,784,1391000,36,0,0,1,0
Maham Chaudhry,F,57,Karachi,Self-Employed,Faysal Bank,107800,578,795000,24,1,0,0,0
Bushra Mehmood,F,27,Karachi,Salaried,UBL,78700,570,843000,6,2,0,0,0
Junaid Awan,M,60,Lahore,Business Owner,HBL,236200,637,1697000,36,1,0,1,1
Hina Syed,F,28,Karachi,Salaried,Standard Chartered,184900,657,792000,24,0,1,1,0
Sahar Syed,F,36,Karachi,Self-Employed,MCB,170300,680,395000,6,0,0,0,1
Ali Shah,M,23,Karachi,Salaried,Faysal Bank,130400,705,1287000,6,1,0,1,0
Nimra Nawaz,F,39,Islamabad,Self-Employed,HBL,212700,752,50000,12,2,0,0,1
Saad Rehman,M,59,Lahore,Self-Employed,JS Bank,150700,683,463000,60,0,1,0,0
Farhan Shah,M,60,Lahore,Salaried,Askari,55200,648,696000,12,0,0,0,0
Haroon Rehman,M,35,Lahore,Salaried,Faysal Bank,72800,664,50000,18,0,0,1,1
Sohail Haider,M,23,Faisalabad,Salaried,Faysal Bank,121100,735,984000,36,0,0,0,0
Sohail Butt,M,48,Karachi,Salaried,JS Bank,147000,643,1024000,12,0,0,1,0
Anas Chaudhry,M,33,Lahore,Salaried,Standard Chartered,177000,674,162000,12,0,0,1,1
Kashif Naseer,M,55,Gujranwala,Unemployed,Askari,44000,644,713000,6,3,0,1,0
Alina Shah,F,23,Karachi,Salaried,NBP,158900,721,2109000,36,0,0,1,0
Ali Tariq,M,24,Rawalpindi,Salaried,Askari,164300,723,811000,18,0,0,1,0
Muhammad Mirza,M,50,Rawalpindi,Salaried,Faysal Bank,103400,749,1634000,18,1,0,0,0
Sajid Rehman,M,47,Lahore,Salaried,HBL,101200,672,651000,18,1,0,1,0
Arslan Akhtar,M,47,Multan,Contract,Meezan,83600,678,1330000,48,2,0,1,0
Kiran Gill,F,42,Rawalpindi,Self-Employed,HBL,140100,604,647000,12,0,0,1,0
Fariha Mahmood,F,55,Rawalpindi,Salaried,Faysal Bank,153800,568,701000,36,0,0,1,1
Taha Syed,M,47,Karachi,Self-Employed,MCB,302700,654,327000,12,0,0,1,1
Fatima Siddiqui,F,28,Islamabad,Salaried,MCB,100500,664,1601000,18,0,0,1,0
Hamza Iqbal,M,53,Karachi,Salaried,Faysal Bank,90800,668,608000,24,0,0,0,0
Zoya Tariq,F,42,Karachi,Salaried,JS Bank,149000,752,633000,12,0,0,1,1
Shahzaib Mehmood,M,28,Lahore,Salaried,UBL,100500,591,971000,12,0,0,0,0
Hussain Niaz,M,49,Karachi,Self-Employed,HBL,205000,569,50000,12,0,0,0,1
Sajid Saleem,M,48,Karachi,Salaried,Standard Chartered,184800,560,796000,36,0,0,1,0
Rizwan Nawaz,M,32,Sialkot,Salaried,HBL,205200,652,851000,18,0,0,1,1
Zain Syed,M,28,Peshawar,Salaried,Askari,141500,791,406000,12,2,1,1,0
Taha Rashid,M,56,Karachi,Self-Employed,Meezan,220400,765,1348000,12,0,0,0,1
Usman Naseer,M,55,Karachi,Salaried,NBP,62800,753,1029000,60,0,1,0,0
Sahar Niaz,F,28,Lahore,Salaried,JS Bank,179700,641,487000,6,0,0,1,1
Noor Rajput,F,48,Karachi,Salaried,Standard Chartered,157200,598,103000,18,1,0,1,1
Hamza Rashid,M,25,Lahore,Salaried,HBL,131700,712,1148000,12,1,0,0,0
Hina Zafar,F,57,Rawalpindi,Self-Employed,NBP,129400,800,246000,12,1,0,0,0
Moiz Ahmed,M,32,Karachi,Salaried,JS Bank,25000,667,531000,24,0,0,1,0
Zainab Raza,F,27,Faisalabad,Business Owner,Faysal Bank,206700,622,1246000,60,0,0,1,0
Danish Butt,M,52,Quetta,Salaried,Faysal Bank,96400,646,891000,24,2,0,0,0
Fatima Qureshi,F,59,Karachi,Salaried,HBL,105600,653,690000,18,0,1,1,0
Rida Shah,F,49,Islamabad,Salaried,HBL,131500,804,50000,24,0,0,1,1
Saba Khan,F,56,Karachi,Salaried,MCB,136500,674,50000,6,1,0,1,0
Alina Rehman,F,56,Islamabad,Self-Employed,HBL,98700,760,158000,36,0,0,0,0
Ammar Akhtar,M,32,Karachi,Salaried,HBL,83300,727,451000,12,0,0,1,0
Rabia Rehman,F,45,Lahore,Salaried,Standard Chartered,77800,721,599000,24,0,0,0,0
Faiz Rashid,M,48,Lahore,Salaried,Meezan,124700,765,547000,12,0,0,0,1
Junaid Hussain,M,57,Hyderabad,Self-Employed,UBL,200300,770,1385000,18,1,0,0,0
Anaya Syed,F,42,Karachi,Salaried,JS Bank,128500,663,902000,48,0,0,0,0
Hussain Nawaz,M,42,Karachi,Salaried,UBL,134600,602,296000,6,1,1,1,0
Imran Chaudhry,M,53,Karachi,Unemployed,Askari,27700,664,758000,36,0,0,0,0
Zainab Javed,F,57,Karachi,Self-Employed,Askari,114400,652,623000,6,1,0,0,0
Farhan Nawaz,M,23,Islamabad,Salaried,NBP,91300,776,759000,6,1,1,0,0
Haroon Rehman,M,55,Sialkot,Salaried,NBP,102500,711,561000,36,3,0,1,0
Awais Sheikh,M,36,Islamabad,Salaried,Askari,56500,565,246000,36,1,0,1,0
Fariha Chaudhry,F,39,Rawalpindi,Salaried,MCB,179600,625,1247000,18,3,0,1,1
Sana Shah,F,38,Islamabad,Salaried,JS Bank,132500,644,2022000,6,0,0,1,0
Imran Qureshi,M,21,Karachi,Self-Employed,Askari,149200,738,1314000,36,0,0,0,0
Awais Naseer,M,43,Hyderabad,Salaried,NBP,137600,644,882000,48,0,0,1,0
Sajid Akhtar,M,60,Gujranwala,Business Owner,UBL,137100,756,1033000,48,3,0,1,0
Maryam Rashid,F,49,Karachi,Salaried,Askari,134600,600,572000,48,2,0,1,1
Alina Ahmed,F,40,Karachi,Self-Employed,HBL,104800,544,1275000,12,2,0,1,0
Hira Saleem,F,21,Islamabad,Self-Employed,UBL,111400,693,258000,12,0,0,1,1
Taha Rehman,M,50,Quetta,Business Owner,HBL,160700,553,612000,6,0,0,1,1
Zain Rashid,M,47,Islamabad,Business Owner,JS Bank,166400,663,801000,24,0,0,1,0
Sameer Javed,M,39,Lahore,Unemployed,Meezan,46700,694,1266000,12,1,0,0,0
Sameer Aslam,M,35,Lahore,Salaried,Askari,78900,754,644000,24,0,1,1,0
Sameer Rajput,M,35,Lahore,Salaried,UBL,76700,734,723000,48,0,0,0,0
Ibrahim Naseer,M,29,Hyderabad,Contract,HBL,85300,597,156000,12,0,0,0,1
Abdullah Rashid,M,35,Faisalabad,Business Owner,NBP,225100,607,50000,18,1,0,1,1
Bushra Latif,F,27,Multan,Business Owner,Alfalah,179900,591,788000,18,3,0,0,0
Ahmed Butt,M,35,Karachi,Self-Employed,Askari,254900,639,1165000,6,0,0,0,0
Haroon Saleem,M,58,Karachi,Contract,JS Bank,99500,773,1272000,12,0,1,0,0
Rida Sheikh,F,44,Faisalabad,Salaried,NBP,136900,886,834000,36,1,0,1,1
Awais Mehmood,M,44,Karachi,Salaried,JS Bank,124000,698,834000,36,2,0,1,0
Sameer Saeed,M,53,Karachi,Unemployed,UBL,33100,670,50000,24,0,1,1,0
Ahmed Hussain,M,56,Multan,Salaried,Meezan,85900,657,714000,60,1,0,1,0
Faisal Aslam,M,43,Islamabad,Contract,Faysal Bank,105400,629,961000,48,1,0,0,0
Usman Shah,M,35,Islamabad,Salaried,UBL,69400,543,1169000,36,1,0,1,0
Zain Chaudhry,M,42,Karachi,Self-Employed,Standard Chartered,155900,771,1157000,18,0,0,1,0
Saad Malik,M,55,Karachi,Salaried,Askari,140000,713,1309000,18,0,0,0,0
Arslan Saleem,M,33,Peshawar,Self-Employed,Alfalah,127700,659,591000,18,0,0,1,1
Shahzeb Naseer,M,60,Karachi,Contract,Meezan,76800,711,55000,6,0,0,1,0
Hussain Nawaz,M,39,Lahore,Self-Employed,Meezan,99200,706,1051000,24,2,0,0,0
Usman Sheikh,M,50,Islamabad,Business Owner,Faysal Bank,104800,753,625000,12,0,0,1,1
Iqra Farooq,F,28,Lahore,Salaried,Meezan,87300,704,598000,60,0,0,0,1
Danish Gill,M,60,Multan,Salaried,UBL,232400,670,1132000,36,2,0,1,1
Haroon Rashid,M,50,Karachi,Contract,Meezan,113000,685,1111000,24,0,0,0,1
Hussain Amin,M,56,Lahore,Unemployed,Standard Chartered,27200,625,800000,36,0,0,0,0
Eman Malik,F,52,Rawalpindi,Salaried,Meezan,87300,610,501000,36,1,0,1,0
Usman Saeed,M,38,Karachi,Contract,MCB,96300,737,1414000,36,1,0,1,0
Haroon Farooq,M,30,Quetta,Self-Employed,Meezan,168500,814,913000,48,1,1,1,0
Usman Tariq,M,53,Lahore,Salaried,Faysal Bank,143900,617,114000,48,1,0,1,1
Sameer Haider,M,43,Islamabad,Salaried,NBP,163400,568,651000,12,0,0,1,1
Amna Zafar,F,30,Karachi,Business Owner,Askari,223500,575,271000,36,2,0,0,0
Kashif Awan,M,32,Lahore,Unemployed,Meezan,29800,642,692000,12,2,0,0,0
Sidra Qureshi,F,28,Karachi,Salaried,Faysal Bank,88500,629,687000,6,1,0,1,0
Junaid Iqbal,M,60,Lahore,Salaried,MCB,109200,742,50000,36,1,0,1,1
Ayla Sheikh,F,49,Hyderabad,Salaried,Faysal Bank,155400,761,50000,6,1,0,1,1
Saad Mahmood,M,32,Rawalpindi,Contract,NBP,77000,800,829000,12,2,0,0,0
Fatima Rashid,F,29,Rawalpindi,Business Owner,Meezan,289800,776,50000,12,0,0,0,1
Hina Akhtar,F,55,Gujranwala,Salaried,Alfalah,89100,721,830000,48,2,0,1,0
Danish Amin,M,49,Karachi,Business Owner,HBL,192800,605,1831000,18,0,0,1,0
Hassan Latif,M,49,Karachi,Salaried,HBL,133200,699,1504000,48,0,0,0,0
Taha Haider,M,23,Faisalabad,Self-Employed,UBL,179300,632,741000,6,2,0,0,0
Shahzaib Chaudhry,M,59,Karachi,Self-Employed,Meezan,31700,525,1131000,24,1,0,1,0
Hafsa Saeed,F,38,Faisalabad,Salaried,Alfalah,162800,678,1018000,18,0,0,1,0
Danish Iqbal,M,49,Lahore,Salaried,Askari,103500,643,1240000,36,1,0,1,0
